barrio,dump_date_month,dump_date_year,precio_unitario_mediana,property_type,state_name,superficies_mediana
Abasto,8,2013,1529.411764705883,PH,Capital Federal,85.0
Abasto,9,2013,1529.411764705883,PH,Capital Federal,85.0
Abasto,10,2013,1529.411764705883,PH,Capital Federal,85.0
Abasto,12,2013,1514.516129032258,PH,Capital Federal,62.0
Abasto,1,2014,1514.516129032258,PH,Capital Federal,62.0
Abasto,2,2014,1514.516129032258,PH,Capital Federal,62.0
Abasto,3,2014,1514.516129032258,PH,Capital Federal,62.0
Abasto,4,2014,1514.516129032258,PH,Capital Federal,62.0
Abasto,5,2014,1514.516129032258,PH,Capital Federal,62.0
Abasto,6,2014,1162.0199692780338,PH,Capital Federal,136.0
Abasto,7,2014,809.5238095238095,PH,Capital Federal,210.0
Abasto,8,2014,809.5238095238095,PH,Capital Federal,210.0
Abasto,11,2015,1315.7894736842104,PH,Capital Federal,60.0
Abasto,12,2015,1531.25,PH,Capital Federal,64.0
Abasto,1,2016,1750.0,PH,Capital Federal,80.0
Abasto,2,2016,1750.0,PH,Capital Federal,80.0
Abasto,3,2016,1750.0,PH,Capital Federal,80.0
Abasto,4,2016,1344.0860215053765,PH,Capital Federal,93.0
Abasto,5,2016,1344.0860215053765,PH,Capital Federal,93.0
Abasto,6,2016,1344.0860215053765,PH,Capital Federal,93.0
Abasto,7,2016,1344.0860215053765,PH,Capital Federal,93.0
Abasto,8,2016,1753.1240918337694,PH,Capital Federal,83.5
Abasto,9,2016,2109.8109810981096,PH,Capital Federal,93.0
Abasto,10,2016,1986.5786578657867,PH,Capital Federal,83.5
Abasto,11,2016,2128.7128712871286,PH,Capital Federal,53.0
Abasto,12,2016,2129.769392033543,PH,Capital Federal,49.0
Abasto,1,2017,2129.769392033543,PH,Capital Federal,49.0
Abasto,2,2017,1000.0,PH,Capital Federal,160.0
Abasto,3,2017,1000.0,PH,Capital Federal,160.0
Abasto,4,2017,1175.0,PH,Capital Federal,180.0
Abasto,5,2017,1350.0,PH,Capital Federal,122.5
Abasto,6,2017,1350.0,PH,Capital Federal,125.0
Abasto,7,2017,1708.333333333333,PH,Capital Federal,120.0
Abasto,8,2013,1946.7017543859652,apartment,Capital Federal,51.5
Abasto,9,2013,1894.7368421052633,apartment,Capital Federal,50.0
Abasto,10,2013,2000.0,apartment,Capital Federal,53.0
Abasto,11,2013,2005.8823529411768,apartment,Capital Federal,39.0
Abasto,12,2013,2023.9010989010992,apartment,Capital Federal,39.0
Abasto,1,2014,2000.0,apartment,Capital Federal,39.0
Abasto,2,2014,2063.0541871921187,apartment,Capital Federal,46.5
Abasto,3,2014,2005.8823529411768,apartment,Capital Federal,47.0
Abasto,4,2014,1864.015151515151,apartment,Capital Federal,49.0
Abasto,5,2014,1834.3718843469592,apartment,Capital Federal,48.0
Abasto,6,2014,1823.5645933014357,apartment,Capital Federal,51.5
Abasto,7,2014,1732.7704815509694,apartment,Capital Federal,55.0
Abasto,8,2014,1787.8048780487804,apartment,Capital Federal,53.0
Abasto,9,2014,1787.8048780487804,apartment,Capital Federal,53.0
Abasto,10,2014,1765.697310819262,apartment,Capital Federal,43.5
Abasto,11,2014,1765.697310819262,apartment,Capital Federal,52.5
Abasto,12,2014,1743.5897435897436,apartment,Capital Federal,46.0
Abasto,1,2015,1743.5897435897436,apartment,Capital Federal,46.0
Abasto,2,2015,1743.5897435897436,apartment,Capital Federal,48.0
Abasto,3,2015,1742.3305860805863,apartment,Capital Federal,52.5
Abasto,4,2015,1743.5897435897436,apartment,Capital Federal,48.0
Abasto,5,2015,1818.1818181818185,apartment,Capital Federal,54.0
Abasto,6,2015,1741.0714285714291,apartment,Capital Federal,50.0
Abasto,7,2015,1944.4444444444448,apartment,Capital Federal,90.0
Abasto,8,2015,1937.5,apartment,Capital Federal,57.0
Abasto,9,2015,1930.2325581395346,apartment,Capital Federal,64.0
Abasto,10,2015,1937.3385012919898,apartment,Capital Federal,64.0
Abasto,11,2015,1930.2325581395346,apartment,Capital Federal,54.0
Abasto,12,2015,1943.6507936507937,apartment,Capital Federal,50.5
Abasto,1,2016,1822.3505434782605,apartment,Capital Federal,64.0
Abasto,2,2016,1931.0344827586207,apartment,Capital Federal,60.0
