lon,lat,id,linea,nombre,barrio
-58.4614910346889,-34.6437565970805,1,PREMETRO,INTENDENTE SAGUIER,Flores
-58.4564145813745,-34.6486005420351,2,PREMETRO,BALBASTRO (Cementerio de Flores),Flores
-58.4500470792493,-34.6594991467729,3,PREMETRO,ANA MARÍA JANER,Villa Soldati
-58.4466067042219,-34.6622249467795,4,PREMETRO,FERNANDEZ DE LA CRUZ,Villa Soldati
-58.4485133000082,-34.6653680271808,5,PREMETRO,PTE. ILLIA (Lacarra),Villa Soldati
-58.4543251886428,-34.6690901145736,6,PREMETRO,PARQUE DE LA CIUDAD,Villa Soldati
-58.4579600157419,-34.6724582308545,7,PREMETRO,CECILIA GRIERSON,Villa Soldati
-58.4600751595769,-34.6745264482372,8,PREMETRO,ESCALADA,Villa Lugano
-58.4595995738502,-34.6883531329925,9,PREMETRO,GENERAL SAVIO,Villa Lugano
-58.4580715309316,-34.686081208835,10,PREMETRO,GABINO EZEIZA (Av. Cnel. Roca),Villa Lugano
-58.4620442328871,-34.6830667667194,11,PREMETRO,NICOLÁS DESCALZI,Villa Lugano
-58.4653695788337,-34.6805719548239,12,PREMETRO,LARRAZÁBAL,Villa Lugano
-58.466124720094,-34.6824577608497,13,PREMETRO,CENTRO CIVICO LUGANO,Villa Lugano
-58.466923438707,-34.6808829242265,14,PREMETRO,ANA DÍAZ,Villa Lugano
-58.4564801393051,-34.6544327801137,15,PREMETRO,MARIANO ACOSTA (Bo. R. Carrillo),Villa Soldati
-58.4539052789963,-34.6564409551024,16,PREMETRO,SOMELLERA,Villa Soldati
-58.4488613949717,-34.6604582616429,17,PREMETRO,NTRA. SRA. DE FÁTIMA,Villa Soldati
-58.4644621725649,-34.6781309500937,18,PREMETRO,POLA,Villa Lugano
