lat,lon,Id,Nombre,Empresa,Linea,Linea_2,barrio,Comuna
-34.571333613432138,-58.424295483795319,2,3 DE FEBRERO,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Palermo,COMUNA 14
-34.567570624121778,-58.463056308336064,4,BELGRANO R,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Belgrano,COMUNA 13
-34.562548745955873,-58.435864363131444,6,LISANDRO DE LA TORRE,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Palermo,COMUNA 14
-34.558443445191934,-58.449497797677708,7,BELGRANO C,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Belgrano,COMUNA 13
-34.548895455789449,-58.462399538710976,8,NUÑEZ,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Nuñez,COMUNA 13
-34.537522455862408,-58.467586306903755,9,RIVADAVIA,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Nuñez,COMUNA 13
-34.580455753438827,-58.501731905078806,10,PUEYRREDON,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Villa Pueyrredón,COMUNA 12
-34.574767431385595,-58.487968112605422,11,GRAL. URQUIZA,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Villa Urquiza,COMUNA 12
-34.568420870076402,-58.479082950515924,12,DR. L. M. DRAGO,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Villa Urquiza,COMUNA 12
-34.565239946465866,-58.475347639016348,13,COGHLAN,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Coghlan,COMUNA 12
-34.553583272337761,-58.487369343639166,14,L. M. SAAVEDRA,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Saavedra,COMUNA 12
-34.576219282197172,-58.398936512447825,16,SALDIAS,FERROVIAS S.A.C.,BELGRANO NORTE,F.C.G.B.,Recoleta,COMUNA 2
-34.578502062268178,-58.426514719066375,20,PALERMO,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Palermo,COMUNA 14
-34.601325985280262,-58.493953299664184,21,VILLA DEL PARQUE,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Villa del Parque,COMUNA 11
-34.596780235616258,-58.46663446944661,22,LA PATERNAL,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Paternal,COMUNA 15
-34.602597827458773,-58.512619067723044,23,DEVOTO,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Villa Devoto,COMUNA 11
-34.665398922961188,-58.448488962097144,24,PRES. ILLIA,TRANSP. METROPOLITANOS BELGRANO SUR S.A.,BELGRANO SUR,F.C.G.B.,Villa Soldati,COMUNA 8
-34.66218185842591,-58.440839150331193,25,VILLA SOLDATI,TRANSP. METROPOLITANOS BELGRANO SUR S.A.,BELGRANO SUR,F.C.G.B.,Villa Soldati,COMUNA 8
-34.677205207837176,-58.477043152433261,26,VILLA LUGANO,TRANSP. METROPOLITANOS BELGRANO SUR S.A.,BELGRANO SUR,F.C.G.B.,Villa Lugano,COMUNA 8
-34.649058630578324,-58.415498070763078,27,SAENZ,TRANSP. METROPOLITANOS BELGRANO SUR S.A.,BELGRANO SUR,F.C.G.B.,Nueva Pompeya,COMUNA 4
-34.644740660196767,-58.3959918671124,28,BUENOS AIRES,TRANSP. METROPOLITANOS BELGRANO SUR S.A.,BELGRANO SUR,F.C.G.B.,Barracas,COMUNA 4
-34.608325339291312,-58.406732652955618,29,ONCE DE SEPTIEMBRE,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Balvanera,COMUNA 3
-34.619066023270022,-58.443529366688068,30,CABALLITO,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Caballito,COMUNA 6
-34.638929486650476,-58.52644551500223,33,LINIERS,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Liniers,COMUNA 9
-34.63624374030195,-58.501691433693793,34,VILLA LURO,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Villa Luro,COMUNA 10
-34.627580773362332,-58.465297820280362,32,FLORES,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Flores,COMUNA 7
-34.628611001746407,-58.380517614366759,35,CONSTITUCION,TRANSP.  METROPOLITANOS GRAL ROCA S.A.,ROCA,F.C.G.R.,Constitución,COMUNA 1
-34.644173276712351,-58.38290686380175,36,SOLA,TRANSP.  METROPOLITANOS GRAL ROCA S.A.,ROCA,F.C.G.R.,Barracas,COMUNA 4
-34.653502027361981,-58.378873699126096,37,YRIGOYEN,TRANSP.  METROPOLITANOS GRAL ROCA S.A.,ROCA,F.C.G.R.,Barracas,COMUNA 4
-34.586953443838006,-58.455463985791653,38,FEDERICO LACROZE,METROVIAS S.A.,URQUIZA,F.C.G.U.,Chacarita,COMUNA 15
-34.593150210179324,-58.494363582352186,39,DR. FCO. BEIRO,METROVIAS S.A.,URQUIZA,F.C.G.U.,Agronomía,COMUNA 15
-34.592447438223054,-58.476277527707687,40,P. N. ARATA,METROVIAS S.A.,URQUIZA,F.C.G.U.,Agronomía,COMUNA 15
-34.590413289207902,-58.466638778348717,41,G. ARTIGAS,METROVIAS S.A.,URQUIZA,F.C.G.U.,Chacarita,COMUNA 15
-34.595540954496016,-58.510395384110964,42,ANTONIO DEVOTO,METROVIAS S.A.,URQUIZA,F.C.G.U.,Villa Devoto,COMUNA 11
-34.594586159786822,-58.50404251424645,43,EL LIBERTADOR,METROVIAS S.A.,URQUIZA,F.C.G.U.,Villa Devoto,COMUNA 11
-34.575540566297249,-58.434831124696721,3,MTRO. CARRANZA,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Palermo,COMUNA 14
-34.632203251428969,-58.48022161752899,31,FLORESTA,TBA - TRENES DE BS AS S.A.,SARMIENTO,F.C.D.F.S.,Floresta,COMUNA 10
-34.589022367151621,-58.373866216863696,18,RETIRO,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Retiro,COMUNA 1
-34.589748450662107,-58.374723846583983,15,RETIRO,FERROVIAS S.A.C.,BELGRANO NORTE,F.C.G.B.,Retiro,COMUNA 1
-34.590996710662886,-58.37554196007882,1,RETIRO,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Retiro,COMUNA 1
-34.573247821679487,-58.447695213882099,5,COLEGIALES,TBA - TRENES DE BS AS S.A.,MITRE,F.C.G.B.M.,Colegiales,COMUNA 13
-34.592737760622938,-58.447044369531241,19,CHACARITA,TRANSP.  METROPOLITANOS SAN MARTIN S.A.,SAN MARTIN,F.C.G.S.M.,Chacarita,COMUNA 15
-34.598829316948809,-58.368107759373657,45,CORDOBA,,TRANVIA DEL ESTE,TRANVIA DEL ESTE,Puerto Madero,COMUNA 1
-34.602244153310522,-58.367426268167762,46,CORRIENTES,,TRANVIA DEL ESTE,TRANVIA DEL ESTE,Puerto Madero,COMUNA 1
-34.611416873526068,-58.366500126859449,47,BELGRANO,,TRANVIA DEL ESTE,TRANVIA DEL ESTE,Puerto Madero,COMUNA 1
-34.616407134860651,-58.366033391865948,48,INDEPENDENCIA,,TRANVIA DEL ESTE,TRANVIA DEL ESTE,Puerto Madero,COMUNA 1
-34.54377791410257,-58.446515745762134,49,CIUDAD UNIVERSITARIA,FERROVIAS S.A.C.,BELGRANO NORTE,F.C.G.B.,Belgrano,COMUNA 13
