lon,lat,ID,barrio
-58.3775508488443,-34.6288473603882,1,Barracas
-58.4120700769456,-34.5941919726393,2,Recoleta
-58.3918791813883,-34.6299453614404,3,Parque Patricios
-58.4005143372538,-34.5847671286454,4,Recoleta
-58.3814293381891,-34.6419888014928,5,Barracas
-58.3851559118889,-34.6394041316484,6,Barracas
-58.3913114406535,-34.6341535760002,7,Parque Patricios
-58.4349433479819,-34.6084721257413,8,Caballito
-58.3758433488021,-34.6302112044495,9,Barracas
-58.3823284509488,-34.6357022351559,10,Barracas
-58.3821283746958,-34.6364350546569,11,Barracas
-58.3601201271455,-34.6388917320834,12,Boca
-58.4409882382439,-34.5538963316473,13,Belgrano
-58.4027506275377,-34.634856308415,14,Parque Patricios
-58.4601855775528,-34.6054342750207,15,Villa General Mitre
-58.4276597542837,-34.6146348348429,16,Almagro
-58.4332484381295,-34.6070507603866,17,Caballito
-58.4323966950244,-34.6255031952483,18,Caballito
-58.3940641604746,-34.6227125075125,19,San Cristobal
-58.5021449222223,-34.6179817540591,20,Monte Castro
-58.3937269413226,-34.6375293258416,21,Parque Patricios
-58.4752588459762,-34.5972098729152,22,Paternal
-58.4005134574423,-34.5847659581214,23,Recoleta
-58.365985088719,-34.6283448581677,24,Boca
-58.4068939142787,-34.581141710889,25,Palermo
-58.4379813617051,-34.6089728538415,26,Caballito
-58.4695020363265,-34.6241704940114,27,Flores
-58.4096107488156,-34.6176598438607,28,Balvanera
-58.4710781593251,-34.565051956568,29,Coghlan
-58.5110525000569,-34.599979524264,30,Villa Devoto
-58.50761514092,-34.6253367952668,31,Monte Castro
-58.5156291936709,-34.6491867281064,32,Liniers
-58.4108602188292,-34.6431172591975,33,Parque Patricios
-58.4710976282168,-34.5873917690227,34,Parque Chas
-58.4541167814714,-34.643894071866,35,Flores
-58.4566428491104,-34.6718480140772,36,Villa Lugano
